method,runtime_seconds,accuracy,precision_macro,recall_macro,f1_macro,jaccard_macro,hamming_loss,matthews_corrcoef,cohens_kappa,roc_auc,adjusted_rand,fowlkes_mallows,normalized_mutual_information,variation_of_information,homogeneity,completeness,v_measure,conditional_cluster_entropy
CPLICE,151.4815529999978,0.8849246231155778,0.8984819984819985,0.8816515951286955,0.8831754782070458,0.7910850558940935,0.11507537688442211,0.7799520250649399,0.7680994957025307,,0.5925957703795753,0.8009175561182766,0.5255602500017298,0.6470097293334633,0.5174962156383556,0.5338795829214337,0.5255602500017299,0.33413025611704106
ModelBased-RF,1.8471318000010797,0.8601758793969849,0.8665712395782538,0.8577670170491611,0.8588307751867491,0.7528440346763654,0.13982412060301508,0.7242847476508814,0.7187332372948854,,0.5188318739595107,0.7626056932954598,0.4292461988526437,0.7836096558818119,0.4255125259063725,0.433045974276893,0.4292461988526437,0.39782827218420963
KNN,0.2363121999987925,0.8192211055276382,0.8230904104097476,0.8170862541707586,0.8177918167743916,0.6920647078526868,0.1807788944723618,0.640148507755255,0.636588861048391,,0.40752018027931003,0.7068646088890859,0.3234057113160676,0.9307720925408647,0.32123113763352185,0.3256099272077706,0.32340571131606755,0.47004235236587183
LabelSpreading,0.11534110000138753,0.6924623115577889,0.8052196053469127,0.7032007759456838,0.6680169006405887,0.5084203812925966,0.3075376884422111,0.49807975522130216,0.39754303935351687,0.7032007759456838,0.14772197507054421,0.64192199466465,0.2728781329440785,0.8777674335001956,0.23784603606040516,0.3200124336215221,0.2728781329440784,0.5277859105471457
