method,silhouette,dunn,distance_pseudo_f,medoid_davies_bouldin,within_dispersion,between_medoid_separation,dispersion_separation_ratio,normalized_entropy,mode_mismatch_rate,mode_separation,mode_mismatch_separation_ratio
CPLICE,0.15494103907166226,0.056798674368872266,1326.3385351969803,1.4806287407151717,0.7703175898490989,0.9111077189445496,0.8454736732353167,0.5232729141893496,0.3514390132480585,0.5909090909090909,0.5947429454967144
KNN,0.13976899206628976,0.057101617951037596,1164.6725020530869,1.4300967866864425,0.7729640155331727,0.952997624874115,0.8110870324942063,0.5427408371819694,0.3587425765189584,0.6363636363636364,0.5637383345297918
ModelBased-RF,0.14534170101044283,0.06243899788556139,1226.1547946435867,1.4900006670019812,0.7718509202521172,0.9120622873306274,0.8462699653015223,0.5326074326477817,0.35420283234353583,0.5454545454545454,0.6493718592964824
LabelSpreading,0.11017901987504135,0.40073503499298435,1007.5552793335861,1.3781743496643446,0.8143563085542881,0.9491907358169556,0.8579480159521181,0.5539305679436984,0.38592393787117407,0.5454545454545454,0.7075272194304858
